ticker,class_code,side,notional,entry_price,lot_size
AFKS,SPBFUT_CONT,long,9515.944616562296,21289.403155607113,1
NLMK,SPBFUT_CONT,long,3324.2865919833034,15986.03481097532,1
MAGN,SPBFUT_CONT,long,4286.744110649573,46723.59360874342,1
MOEX,SPBFUT_CONT,long,5520.216250938101,10036.826397041568,1
ROSN,SPBFUT_CONT,long,6734.462650523046,50048.12470677795,1
IRAO,SPBFUT_CONT,long,6688.559104109978,43423.9921528371,1
TATN,SPBFUT_CONT,long,10327.849122354728,53265.831102977594,1
SBER,SPBFUT_CONT,long,7084.924590636525,16760.20263114388,1
SNGS,SPBFUT_CONT,long,5413.719331754601,42624.32105260275,1
SNGSP,SPBFUT_CONT,long,8618.83318212968,36135.48511245524,1
SNGS,SPBFUT_CONT,long,6108.326104315896,42699.14768750784,1
AFKS,SPBFUT_CONT,long,6899.646404995524,21694.584836110786,1
ALRS,SPBFUT_CONT,short,4025.202298888643,12353.543498125127,1
SBER,SPBFUT_CONT,long,3730.6294864981737,17767.49579977633,1
SBERP,SPBFUT_CONT,long,3752.9669902515366,16797.53331948168,1
ROSN,SPBFUT_CONT,long,6070.456951322745,52240.2911047532,1
AFKS,SPBFUT_CONT,long,4336.480922683164,21702.853849998613,1
MOEX,SPBFUT_CONT,long,5367.168054741106,10187.1028947397,1
IMOEX,SPBFUT_CONT,long,5635.820269259546,342356.35716755415,1
Nasdaq 100,SPBFUT_CONT,long,5564.79917462415,12390.895148552983,1
NLMK,SPBFUT_CONT,long,3849.239929129238,16571.829722081457,1
