seed,return_pct,cagr_pct,sharpe,max_dd_pct,pct_profitable_missed_to_margin,avg_margin_util_pct,risk_per_trade,margin_cap,block
6,145.2671261460575,218.3336719343474,2.1198840833199504,21.35260875037265,67.97274275979557,70.42210165173638,0.005,0.8,holdout
7,146.61057735193813,220.5859086229522,2.0196689912857697,18.809494054840755,68.71095968199886,70.46634684131011,0.005,0.8,holdout
8,164.17015814849148,250.34698260068495,2.179755082640029,27.793905383515266,69.05167518455423,70.53351914554769,0.005,0.8,holdout
9,211.48031676467144,333.35052466219304,2.6373463041724756,18.185843839786884,67.57524134014764,69.9223441757467,0.005,0.8,holdout
10,160.26521416182567,243.67744029687105,2.183465149593557,29.080726877931067,68.82453151618398,70.76338562034583,0.005,0.8,holdout
11,162.11808910279598,246.83850297709978,2.171387323922697,31.078919143987306,67.68881317433276,70.11504947018209,0.005,0.8,holdout
12,71.56009710421615,100.69941391517459,1.34805969813784,28.82625802811505,67.91595684270301,70.20836971411634,0.005,0.8,holdout
13,151.9865017293005,229.63398501462868,2.13483082430295,26.75268531475419,69.1084611016468,70.68781275073782,0.005,0.8,holdout
14,195.3335848384655,304.57840568920443,2.562391873913841,19.02109017640146,67.97274275979557,70.45228309817053,0.005,0.8,holdout
15,159.1767104218009,241.8234633735386,2.1646816071451953,25.05272947392744,68.82453151618398,70.25644351158562,0.005,0.8,holdout
16,102.66646039319593,148.85350085430252,1.6621080137237894,23.56053476853735,68.14310051107326,70.32517558424243,0.005,0.8,holdout
17,187.99582002503615,291.65201658523034,2.4055333775211603,19.67424152523598,67.68881317433276,70.5512294705006,0.005,0.8,holdout
18,167.2567462272557,255.6391287869463,2.3201817396170843,18.94441906259724,68.54060193072118,70.57705402943331,0.005,0.8,holdout
19,131.12598353449707,194.84674621319766,2.1033712039528676,20.922411695423143,68.14310051107326,69.91419207422243,0.005,0.8,holdout
20,129.27724254166657,191.80641176019364,1.8674238814907604,28.41852910221696,68.37024417944349,70.40930469341042,0.005,0.8,holdout
21,96.30091908405365,138.81198615084628,1.6322376419927285,30.3218700755421,69.84667802385009,70.6750667594227,0.005,0.8,holdout
22,176.45373093590652,271.51286559844976,2.4049189251997305,25.961902039562375,68.71095968199886,70.43981679958742,0.005,0.8,holdout
23,146.5500577006043,220.48437323173542,2.1066133602173003,26.933534015972217,67.12095400340715,70.11420682108178,0.005,0.8,holdout
24,103.50609459933492,150.18492648868636,1.6415373488884126,33.44923286418645,69.05167518455423,70.12486177837751,0.005,0.8,holdout
25,116.74992207852438,171.394304736481,1.8232542108504672,27.41913255082799,68.25667234525838,70.38497203554111,0.005,0.8,holdout
26,83.3450432019325,118.66772354581703,1.485794873555421,30.186761590873633,67.85917092561044,70.15219731587183,0.005,0.8,holdout
27,194.17151964780817,302.5249964358038,2.3954893868498015,29.051606294268943,68.37024417944349,70.29771866197842,0.005,0.8,holdout
28,61.124198607847255,85.08411928264638,1.3080349392129897,33.46538556886408,68.88131743327655,70.19859399630386,0.005,0.8,holdout
29,117.14934083309272,172.0399444765174,1.7634428008525256,23.332211960331673,66.95059625212947,69.94304247762203,0.005,0.8,holdout
0,22.949554852459887,9.09383247838953,0.3436560184135397,62.91547174058438,73.74227714033539,67.40512751107343,0.01,0.8,in_sample
1,-50.15055739698181,-25.41864828643211,-0.32340998862032283,72.51796317434234,74.40423654015888,67.46182371540492,0.01,0.8,in_sample
2,-61.04831740778365,-32.780268453979424,-0.4876142777416624,82.75220385787253,73.6981465136805,66.94693358766942,0.01,0.8,in_sample
3,35.296433832926624,13.581696105132469,0.41948486146518205,46.04343951922502,73.6098852603707,67.25008203866555,0.01,0.8,in_sample
